_id,Index_,ReportedYear,Category,Subtype,AssaultSubtype,Sex,AgeGroup,AgeCohort,Count_,ObjectId,geometry
43,NA,2014,Crimes Against the Person,Assault,Other,M,Adult,18-24,1056,43,null
44,NA,2014,Crimes Against the Person,Assault,Other,M,Adult,25-34,1668,44,null
45,NA,2014,Crimes Against the Person,Assault,Other,M,Adult,35-44,1141,45,null
46,NA,2014,Crimes Against the Person,Assault,Other,M,Adult,45-54,1185,46,null
47,NA,2014,Crimes Against the Person,Assault,Other,M,Adult,55-64,611,47,null
48,NA,2014,Crimes Against the Person,Assault,Other,M,Adult,65+,285,48,null
49,NA,2014,Crimes Against the Person,Assault,Other,M,Child,<12,507,49,null
50,NA,2014,Crimes Against the Person,Assault,Other,M,Unknown,Unknown,215,50,null
51,NA,2015,Crimes Against the Person,Robbery,N/A,M,Child,<12,16,51,null
52,NA,2015,Crimes Against the Person,Robbery,N/A,M,Unknown,Unknown,29,52,null
53,NA,2015,Crimes Against the Person,Robbery,N/A,M,Youth,12-17,615,53,null
54,NA,2015,Crimes Against the Person,Robbery,N/A,U,Adult,18-24,1,54,null
55,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18-24,479,55,null
56,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25-34,363,56,null
57,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35-44,181,57,null
58,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45-54,114,58,null
59,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55-64,35,59,null
60,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,33,60,null
61,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,233,61,null
62,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Unknown,Unknown,22,62,null
63,NA,2015,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12-17,409,63,null
64,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18-24,41,64,null
65,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25-34,31,65,null
66,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35-44,15,66,null
67,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45-54,14,67,null
68,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55-64,4,68,null
69,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,10,69,null
70,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,100,70,null
71,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Unknown,Unknown,23,71,null
72,NA,2015,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12-17,70,72,null
73,NA,2016,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Unknown,Unknown,1,73,null
74,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18-24,3,74,null
75,NA,2019,Crimes Against the Person,Assault,Other,M,Adult,65+,477,506,null
76,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25-34,14,75,null
77,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35-44,5,76,null
78,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45-54,6,77,null
79,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Unknown,Unknown,74,78,null
80,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18-24,3,79,null
81,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25-34,33,80,null
82,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35-44,26,81,null
83,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45-54,13,82,null
84,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55-64,5,83,null
85,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,1,84,null
86,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Unknown,Unknown,276,85,null
87,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35-44,2,86,null
88,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,45-54,1,87,null
89,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Unknown,Unknown,13,88,null
90,NA,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25-34,1,89,null
